         5843070 function calls (5703559 primitive calls) in 37.199 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 :0(end)
     3450    0.006    0.000    0.006    0.000 :0(endswith)
       11    0.000    0.000    0.000    0.000 :0(eval)
     8270    0.036    0.000    0.036    0.000 :0(exc_info)
   2570/1    0.061    0.000   37.199   37.199 :0(exec)
        6    0.000    0.000    0.000    0.000 :0(exec_builtin)
  132/111    0.021    0.000    0.171    0.002 :0(exec_dynamic)
        1    0.000    0.000    0.000    0.000 :0(exp)
     8196    0.019    0.000    0.019    0.000 :0(expandtabs)
     8258    0.040    0.000    0.044    0.000 :0(extend)
        1    0.000    0.000    0.000    0.000 :0(fileno)
     1608    0.005    0.000    0.005    0.000 :0(find)
        6    0.000    0.000    0.000    0.000 :0(findall)
        5    0.000    0.000    0.000    0.000 :0(finditer)
       11    0.000    0.000    0.000    0.000 :0(flatten)
        1    0.000    0.000    0.000    0.000 :0(flush)
        2    0.003    0.001    0.003    0.001 :0(fork_exec)
     2824    0.009    0.000    0.009    0.000 :0(format)
     6057    0.010    0.000    0.010    0.000 :0(from_bytes)
      517    0.002    0.000    0.002    0.000 :0(frombuffer)
      289    0.002    0.000    0.002    0.000 :0(fromhex)
        4    0.000    0.000    0.000    0.000 :0(fromkeys)
     7646    0.018    0.000    0.018    0.000 :0(fspath)
   140181    0.326    0.000    0.327    0.000 :0(get)
        5    0.000    0.000    0.000    0.000 :0(get_config)
    10095    0.015    0.000    0.015    0.000 :0(get_ident)
   101571    0.204    0.000    0.204    0.000 :0(getattr)
      168    0.001    0.000    0.001    0.000 :0(getcwd)
        1    0.000    0.000    0.000    0.000 :0(getdlopenflags)
       14    0.000    0.000    0.000    0.000 :0(geterrobj)
        2    0.000    0.000    0.000    0.000 :0(getfilesystemencoding)
        7    0.000    0.000    0.000    0.000 :0(getpid)
       24    0.000    0.000    0.000    0.000 :0(getrandbits)
      363    0.001    0.000    0.001    0.000 :0(getrecursionlimit)
      463    0.001    0.000    0.001    0.000 :0(globals)
     3362    0.005    0.000    0.005    0.000 :0(group)
       12    0.000    0.000    0.000    0.000 :0(groupdict)
        1    0.000    0.000    0.000    0.000 :0(groups)
101229/101215    0.206    0.000    0.215    0.000 :0(hasattr)
  140/129    0.000    0.000    0.000    0.000 :0(hash)
      288    0.002    0.000    0.002    0.000 :0(hex)
     1446    0.002    0.000    0.002    0.000 :0(id)
      507    0.001    0.000    0.001    0.000 :0(index)
      108    0.000    0.000    0.000    0.000 :0(insert)
     2846    0.007    0.000    0.007    0.000 :0(intern)
      169    0.000    0.000    0.000    0.000 :0(is_builtin)
     2569    0.005    0.000    0.005    0.000 :0(is_frozen)
    59730    0.109    0.000    0.109    0.000 :0(isidentifier)
   435643    0.776    0.000    0.798    0.000 :0(isinstance)
     2772    0.005    0.000    0.005    0.000 :0(issubclass)
     1961    0.003    0.000    0.003    0.000 :0(isupper)
    18025    0.041    0.000    0.041    0.000 :0(items)
    21261    0.039    0.000    0.039    0.000 :0(iter)
31370/31366    0.062    0.000    0.068    0.000 :0(join)
       75    0.000    0.000    0.000    0.000 :0(keys)
120123/118752    0.222    0.000    0.225    0.000 :0(len)
      449    0.014    0.000    0.014    0.000 :0(listdir)
       12    0.067    0.006    0.067    0.006 :0(load)
     2019    0.286    0.000    0.286    0.000 :0(loads)
        3    0.000    0.000    0.000    0.000 :0(locals)
        1    0.000    0.000    0.000    0.000 :0(localtime)
        2    0.000    0.000    0.000    0.000 :0(log)
        1    0.000    0.000    0.000    0.000 :0(lookup_error)
     8414    0.019    0.000    0.019    0.000 :0(lower)
       80    0.000    0.000    0.000    0.000 :0(lstat)
    24613    0.035    0.000    0.035    0.000 :0(lstrip)
        2    0.000    0.000    0.000    0.000 :0(maketrans)
    11022    0.064    0.000    0.064    0.000 :0(match)
    59000    0.100    0.000    0.100    0.000 :0(max)
    23173    0.040    0.000    0.040    0.000 :0(min)
       56    0.000    0.000    0.000    0.000 :0(mro)
     9159    0.022    0.000    0.022    0.000 :0(new_TF_Output)
       60    0.000    0.000    0.000    0.000 :0(newbyteorder)
104072/59186    0.365    0.000    2.488    0.000 :0(next)
        2    0.000    0.000    0.000    0.000 :0(nl_langinfo)
        1    0.000    0.000    0.000    0.000 :0(oct)
       52    0.002    0.000    0.002    0.000 :0(open)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha1)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha224)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha256)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha384)
        1    0.000    0.000    0.000    0.000 :0(openssl_sha512)
     2639    0.014    0.000    0.014    0.000 :0(ord)
        1    0.000    0.000    0.000    0.000 :0(pack)
      509    0.001    0.000    0.001    0.000 :0(partition)
       11    0.000    0.000    0.000    0.000 :0(peek)
        4    0.000    0.000    0.000    0.000 :0(pipe)
    33677    0.097    0.000    0.097    0.000 :0(pop)
      288    0.001    0.000    0.001    0.000 :0(popitem)
        4    0.000    0.000    0.000    0.000 :0(putenv)
      784    0.004    0.000    0.004    0.000 :0(ravel)
    27829    0.082    0.000    0.082    0.000 :0(read)
      178    0.000    0.000    0.000    0.000 :0(readline)
        1    0.001    0.001    0.002    0.002 :0(readlines)
        2    0.000    0.000    0.000    0.000 :0(readlink)
      597    0.011    0.000    0.011    0.000 :0(reduce)
        4    0.000    0.000    0.000    0.000 :0(register)
        4    0.000    0.000    0.000    0.000 :0(register_at_fork)
        1    0.000    0.000    0.000    0.000 :0(register_converters)
        3    0.000    0.000    0.000    0.000 :0(register_dialect)
    10133    0.016    0.000    0.016    0.000 :0(release)
    16613    0.024    0.000    0.024    0.000 :0(release_lock)
     1142    0.002    0.000    0.002    0.000 :0(remove)
     1052    0.006    0.000    0.006    0.000 :0(replace)
      491    0.003    0.000    0.003    0.000 :0(repr)
      122    0.001    0.000    0.001    0.000 :0(reshape)
        1    0.000    0.000    0.000    0.000 :0(result_type)
     7562    0.013    0.000    0.013    0.000 :0(reverse)
      932    0.002    0.000    0.002    0.000 :0(rfind)
        9    0.000    0.000    0.000    0.000 :0(round)
    18591    0.046    0.000    0.046    0.000 :0(rpartition)
        6    0.000    0.000    0.000    0.000 :0(rsplit)
    45574    0.063    0.000    0.063    0.000 :0(rstrip)
      154    0.000    0.000    0.000    0.000 :0(scalar)
      612    0.002    0.000    0.002    0.000 :0(search)
        3    0.000    0.000    0.000    0.000 :0(seed)
        1    0.000    0.000    0.000    0.000 :0(seek)
        1    0.000    0.000    0.000    0.000 :0(sem_unlink)
        2    0.000    0.000    0.000    0.000 :0(set_string_function)
        1    0.000    0.000    0.000    0.000 :0(set_typeDict)
17241/17238    0.032    0.000    0.034    0.000 :0(setattr)
      428    0.001    0.000    0.001    0.000 :0(setdefault)
        2    0.000    0.000    0.000    0.000 :0(setdlopenflags)
        7    0.000    0.000    0.000    0.000 :0(seterrobj)
      129    0.002    0.000    0.002    0.000 :0(setter)
        1    0.000    0.000    0.000    0.000 :0(silence_errors)
       38    0.000    0.000    0.000    0.000 :0(sizeof)
       26    0.001    0.000    0.001    0.000 :0(sort)
      866    0.007    0.000    0.076    0.000 :0(sorted)
     1386    0.005    0.000    0.005    0.000 :0(split)
     8408    0.025    0.000    0.025    0.000 :0(splitlines)
        2    0.000    0.000    0.000    0.000 :0(sqrt)
      110    0.000    0.000    0.000    0.000 :0(squeeze)
    26099    0.071    0.000    0.071    0.000 :0(startswith)
     9862    0.081    0.000    0.081    0.000 :0(stat)
     1178    0.002    0.000    0.002    0.000 :0(strip)
      149    0.001    0.000    0.001    0.000 :0(sub)
        1    0.000    0.000    0.000    0.000 :0(sum)
        1    0.000    0.000    0.000    0.000 :0(sysconf)
      734    0.003    0.000    0.008    0.000 :0(throw)
        5    0.000    0.000    0.000    0.000 :0(time)
        2    0.000    0.000    0.000    0.000 :0(title)
        4    0.000    0.000    0.000    0.000 :0(tobytes)
       48    0.002    0.000    0.002    0.000 :0(tolist)
        1    0.000    0.000    0.000    0.000 :0(toordinal)
